detection,date,time
person,2024-05-17,17-16-55
person,2024-05-17,17-16-55
person,2024-05-17,17-16-56
person,2024-05-17,17-16-56
person,2024-05-17,17-16-56
person,2024-05-17,17-16-56
person,2024-05-17,17-16-57
person,2024-05-17,17-16-57
person,2024-05-17,17-16-57
person,2024-05-17,17-16-57
person,2024-05-17,17-16-57
person,2024-05-17,17-16-57
person,2024-05-17,17-16-58
person,2024-05-17,17-16-58
person,2024-05-17,17-16-58
person,2024-05-17,17-16-58
person,2024-05-17,17-16-58
person,2024-05-17,17-16-59
person,2024-05-17,17-16-59
person,2024-05-17,17-16-59
person,2024-05-17,17-16-59
person,2024-05-17,17-16-59
person,2024-05-17,17-16-59
person,2024-05-17,17-17-00
person,2024-05-17,17-17-00
person,2024-05-17,17-17-00
person,2024-05-17,17-17-00
person,2024-05-17,17-17-00
person,2024-05-17,17-17-01
person,2024-05-17,17-17-01
person,2024-05-17,17-17-01
person,2024-05-17,17-17-01
person,2024-05-17,17-17-01
person,2024-05-17,17-17-02
person,2024-05-17,17-17-02
person,2024-05-17,17-17-02
person,2024-05-17,17-17-02
person,2024-05-17,17-17-02
person,2024-05-17,17-17-02
person,2024-05-17,17-17-03
person,2024-05-17,17-17-03
person,2024-05-17,17-17-03
person,2024-05-17,17-17-03
person,2024-05-17,17-17-03
person,2024-05-17,17-17-03
person,2024-05-17,17-17-04
person,2024-05-17,17-17-04
person,2024-05-17,17-17-04
person,2024-05-17,17-17-04
person,2024-05-17,17-17-04
person,2024-05-17,17-17-04
person,2024-05-17,17-17-05
person,2024-05-17,17-17-05
bottle,2024-05-17,17-17-05
person,2024-05-17,17-17-05
person,2024-05-17,17-17-05
person,2024-05-17,17-17-06
person,2024-05-17,17-17-07
person,2024-05-17,17-17-08
person,2024-05-17,17-17-09
person,2024-05-17,17-17-09
person,2024-05-17,17-17-10
person,2024-05-17,17-17-10
person,2024-05-17,17-17-10
person,2024-05-17,17-17-10
person,2024-05-17,17-17-10
person,2024-05-17,17-17-10
person,2024-05-17,17-17-10
person,2024-05-17,17-17-11
person,2024-05-17,17-17-11
person,2024-05-17,17-17-11
person,2024-05-17,17-17-11
person,2024-05-17,17-17-11
person,2024-05-17,17-17-11
person,2024-05-17,17-17-11
person,2024-05-17,17-17-11
person,2024-05-17,17-17-11
person,2024-05-17,17-17-12
person,2024-05-17,17-17-12
person,2024-05-17,17-17-12
person,2024-05-17,17-17-12
person,2024-05-17,17-17-12
person,2024-05-17,17-17-12
person,2024-05-17,17-17-12
person,2024-05-17,17-17-12
person,2024-05-17,17-17-12
person,2024-05-17,17-17-12
bottle,2024-05-17,17-17-12
person,2024-05-17,17-17-12
person,2024-05-17,17-17-12
person,2024-05-17,17-17-12
person,2024-05-17,17-17-12
bottle,2024-05-17,17-17-13
bottle,2024-05-17,17-17-13
bottle,2024-05-17,17-17-13
bottle,2024-05-17,17-17-14
bottle,2024-05-17,17-17-14
bottle,2024-05-17,17-17-14
bottle,2024-05-17,17-17-14
bottle,2024-05-17,17-17-14
bottle,2024-05-17,17-17-14
person,2024-05-17,17-17-15
person,2024-05-17,17-17-15
person,2024-05-17,17-17-15
person,2024-05-17,17-17-15
person,2024-05-17,17-17-15
person,2024-05-17,17-17-16
person,2024-05-17,17-17-16
person,2024-05-17,17-17-16
person,2024-05-17,17-17-16
person,2024-05-17,17-17-16
person,2024-05-17,17-17-16
person,2024-05-17,17-17-16
person,2024-05-17,17-17-16
person,2024-05-17,17-17-17
person,2024-05-17,17-17-17
person,2024-05-17,17-17-17
person,2024-05-17,17-17-17
person,2024-05-17,17-17-17
person,2024-05-17,17-17-17
person,2024-05-17,17-17-18
person,2024-05-17,17-17-18
person,2024-05-17,17-17-18
person,2024-05-17,17-17-18
person,2024-05-17,17-17-19
person,2024-05-17,17-17-19
person,2024-05-17,17-17-19
person,2024-05-17,17-17-19
person,2024-05-17,17-17-19
person,2024-05-17,17-17-19
person,2024-05-17,17-17-20
person,2024-05-17,17-17-20
person,2024-05-17,17-17-20
person,2024-05-17,17-17-20
person,2024-05-17,17-17-20
person,2024-05-17,17-17-20
person,2024-05-17,17-17-20
person,2024-05-17,17-17-21
person,2024-05-17,17-17-21
cell phone,2024-05-17,17-17-21
person,2024-05-17,17-17-21
person,2024-05-17,17-17-21
person,2024-05-17,17-17-21
person,2024-05-17,17-17-21
person,2024-05-17,17-17-21
person,2024-05-17,17-17-22
person,2024-05-17,17-17-22
person,2024-05-17,17-17-22
person,2024-05-17,17-17-22
person,2024-05-17,17-17-22
person,2024-05-17,17-17-22
person,2024-05-17,17-17-23
person,2024-05-17,17-17-23
person,2024-05-17,17-17-23
person,2024-05-17,17-17-23
person,2024-05-17,17-17-23
person,2024-05-17,17-17-23
person,2024-05-17,17-17-23
person,2024-05-17,17-17-24
person,2024-05-17,17-17-24
person,2024-05-17,17-17-24
person,2024-05-17,17-17-24
person,2024-05-17,17-17-24
person,2024-05-17,17-17-24
person,2024-05-17,17-17-25
person,2024-05-17,17-17-25
person,2024-05-17,17-17-25
person,2024-05-17,17-17-25
person,2024-05-17,17-17-25
person,2024-05-17,17-17-25
person,2024-05-17,17-17-25
person,2024-05-17,17-17-26
person,2024-05-17,17-17-26
person,2024-05-17,17-17-26
person,2024-05-17,17-17-26
person,2024-05-17,17-17-26
person,2024-05-17,17-17-26
person,2024-05-17,17-17-26
person,2024-05-17,17-17-27
person,2024-05-17,17-17-27
person,2024-05-17,17-17-27
person,2024-05-17,17-17-27
person,2024-05-17,17-17-27
person,2024-05-17,17-17-27
person,2024-05-17,17-17-27
person,2024-05-17,17-17-28
person,2024-05-17,17-17-28
person,2024-05-17,17-17-28
person,2024-05-17,17-17-28
person,2024-05-17,17-17-28
person,2024-05-17,17-17-28
person,2024-05-17,17-17-29
person,2024-05-17,17-17-29
person,2024-05-17,17-17-29
person,2024-05-17,17-17-30
person,2024-05-17,17-17-30
person,2024-05-17,17-17-30
person,2024-05-17,17-17-30
person,2024-05-17,17-17-30
person,2024-05-17,17-17-30
person,2024-05-17,17-17-31
person,2024-05-17,17-17-31
person,2024-05-17,17-17-31
person,2024-05-17,17-17-31
person,2024-05-17,17-17-31
person,2024-05-17,17-17-32
person,2024-05-17,17-17-32
person,2024-05-17,17-17-32
person,2024-05-17,17-17-32
person,2024-05-17,17-17-32
person,2024-05-17,17-17-32
person,2024-05-17,17-17-33
person,2024-05-17,17-17-33
person,2024-05-17,17-17-33
person,2024-05-17,17-17-33
person,2024-05-17,17-17-33
person,2024-05-17,17-17-33
person,2024-05-17,17-17-34
person,2024-05-17,17-17-34
person,2024-05-17,17-17-34
person,2024-05-17,17-17-34
person,2024-05-17,17-17-34
person,2024-05-17,17-17-35
person,2024-05-17,17-17-35
person,2024-05-17,17-17-35
person,2024-05-17,17-17-35
person,2024-05-17,17-17-35
person,2024-05-17,17-17-36
person,2024-05-17,17-17-36
person,2024-05-17,17-17-37
person,2024-05-17,17-17-37
person,2024-05-17,17-17-37
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-38
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-39
person,2024-05-17,17-17-40
person,2024-05-17,17-17-40
person,2024-05-17,17-17-40
person,2024-05-17,17-17-40
person,2024-05-17,17-17-40
person,2024-05-17,17-17-40
person,2024-05-17,17-17-40
person,2024-05-17,17-17-40
person,2024-05-17,17-17-40
person,2024-05-17,17-17-40
person,2024-05-17,17-17-40
person,2024-05-17,17-17-40
person,2024-05-17,17-17-40
person,2024-05-17,17-17-41
person,2024-05-17,17-17-41
person,2024-05-17,17-17-41
person,2024-05-17,17-17-41
person,2024-05-17,17-17-41
person,2024-05-17,17-17-41
person,2024-05-17,17-17-41
person,2024-05-17,17-17-41
person,2024-05-17,17-17-41
person,2024-05-17,17-17-41
person,2024-05-17,17-17-41
person,2024-05-17,17-17-41
person,2024-05-17,17-17-41
person,2024-05-17,17-17-41
person,2024-05-17,17-17-42
person,2024-05-17,17-17-42
person,2024-05-17,17-17-42
person,2024-05-17,17-17-42
person,2024-05-17,17-17-42
person,2024-05-17,17-17-42
person,2024-05-17,17-17-42
person,2024-05-17,17-17-42
person,2024-05-17,17-17-42
person,2024-05-17,17-17-42
person,2024-05-17,17-17-42
person,2024-05-17,17-17-42
person,2024-05-17,17-17-42
person,2024-05-17,17-17-43
person,2024-05-17,17-17-43
person,2024-05-17,17-17-43
person,2024-05-17,17-17-43
person,2024-05-17,17-17-43
person,2024-05-17,17-17-43
person,2024-05-17,17-17-43
person,2024-05-17,17-17-43
person,2024-05-17,17-17-43
person,2024-05-17,17-17-43
person,2024-05-17,17-17-43
person,2024-05-17,17-17-43
person,2024-05-17,17-17-44
person,2024-05-17,17-17-44
person,2024-05-17,17-17-44
person,2024-05-17,17-17-44
person,2024-05-17,17-17-44
person,2024-05-17,17-17-44
person,2024-05-17,17-17-44
tvmonitor,2024-05-17,17-17-44
person,2024-05-17,17-17-44
person,2024-05-17,17-17-44
bowl,2024-05-17,17-17-44
person,2024-05-17,17-17-44
person,2024-05-17,17-17-44
bottle,2024-05-17,17-17-45
person,2024-05-17,17-17-45
wine glass,2024-05-17,17-17-45
person,2024-05-17,17-17-45
bottle,2024-05-17,17-17-45
person,2024-05-17,17-17-46
bottle,2024-05-17,17-17-46
bottle,2024-05-17,17-17-46
person,2024-05-17,17-17-46
bottle,2024-05-17,17-17-46
person,2024-05-17,17-17-46
bottle,2024-05-17,17-17-46
bottle,2024-05-17,17-17-46
person,2024-05-17,17-17-46
person,2024-05-17,17-17-47
bottle,2024-05-17,17-17-47
person,2024-05-17,17-17-50
person,2024-05-17,17-17-50
